teamName,averagePoints,averagePosition,totalWins,totalLapsLed,totalLap,percentageOfLapsLed
Mercedes,12.259657534246575,5.813356164383562,125,7542.0,32843.0,22.963797460646106
Red Bull,9.46111111111111,7.472222222222222,104,6222.0,38329.0,16.23313939836677
Brawn,5.0588235294117645,4.882352941176471,8,458.0,1921.0,23.841749089016137
Lotus F1,4.584415584415584,11.311688311688311,2,113.0,7501.0,1.5064658045593922
Ferrari,4.3434289329396885,8.338675664276677,243,15222.0,122177.0,12.458973456542557
Racing Point,3.723684210526316,10.631578947368421,1,87.0,4156.0,2.093358999037536
McLaren,3.3641509433962264,9.64690026954178,179,11364.0,93858.0,12.10765198491338
Alpine F1 Team,3.3392857142857144,10.446428571428571,1,70.0,6011.0,1.1645316918981867
Matra-Ford,3.25,5.65,9,662.0,2429.0,27.25401399752985
Force India,2.589622641509434,11.68632075471698,0,0.0,22035.0,0.0
Epperly,2.588235294117647,11.176470588235293,2,400.0,2784.0,14.367816091954023
Aston Martin,2.5609756097560976,11.138211382113822,0,0.0,6783.0,0.0
Brabham-Repco,2.272727272727273,8.922077922077921,8,518.0,3494.0,14.825414997137951
Renault,2.2579415501905973,11.168996188055909,35,2172.0,38339.0,5.66524948485876
Williams,2.243008079552517,10.950901180857675,114,7387.0,82580.0,8.945265197384355
BMW Sauber,2.2,8.92142857142857,1,70.0,7938.0,0.8818342151675485
AlphaTauri,1.9657534246575343,12.308219178082192,1,53.0,7786.0,0.6807089648086309
Benetton,1.6567307692307693,10.163461538461538,27,1753.0,26035.0,6.73324371038986
McLaren-Ford,1.6436781609195403,8.931034482758621,4,251.0,4552.0,5.514059753954306
Watson,1.6363636363636365,17.09090909090909,3,600.0,2778.0,21.598272138228943
Lotus-Ford,1.6328125,9.8984375,11,926.0,5751.0,16.101547556946617
Vanwall,1.5211267605633803,11.535211267605634,10,572.0,2500.0,22.88
Sherman,1.5,9.5,0,0.0,397.0,0.0
Cooper-Climax,1.2602996254681649,11.415730337078651,12,824.0,11680.0,7.054794520547945
Deidt,1.25,15.25,0,0.0,899.0,0.0
Lotus-Climax,1.2164502164502164,13.173160173160174,22,1429.0,9078.0,15.741352720863626
Brabham-Ford,1.1724137931034482,12.448275862068966,2,104.0,2441.0,4.260548955346169
Team Lotus,1.142365097588978,13.05625717566016,45,3046.0,36900.0,8.254742547425474
Honda,1.0263157894736843,11.460526315789474,3,203.0,7681.0,2.642885041010285
Wolf,1.0,14.39240506329114,3,209.0,3190.0,6.551724137931035
Phillips,1.0,9.857142857142858,0,0.0,1290.0,0.0
Toyota,0.9946428571428572,11.45,0,0.0,14363.0,0.0
BAR,0.961864406779661,11.415254237288135,0,0.0,11156.0,0.0
BRM,0.9581105169340464,12.582887700534759,17,1361.0,23748.0,5.731008927067543
Brabham,0.9531722054380665,14.049848942598187,23,1405.0,26800.0,5.242537313432836
Cooper-BRM,0.9523809523809523,11.380952380952381,0,0.0,898.0,0.0
Toro Rosso,0.9328358208955224,13.494402985074627,1,53.0,26973.0,0.19649278908538167
March-Ford,0.8604651162790697,13.767441860465116,0,0.0,1805.0,0.0
Brabham-Climax,0.8387096774193549,10.548387096774194,2,122.0,4400.0,2.772727272727273
Alfa Romeo,0.8213457076566125,13.345707656612529,11,693.0,19933.0,3.4766467666683387
Lancia,0.8181818181818182,12.0,0,0.0,495.0,0.0
Tyrrell,0.8070374574347332,13.164585698070374,23,1513.0,39336.0,3.8463494000406753
Haas F1 Team,0.7724358974358975,14.458333333333334,0,0.0,16155.0,0.0
Matra,0.7605633802816901,10.464788732394366,0,0.0,3391.0,0.0
Frazer Nash,0.75,13.5,0,0.0,221.0,0.0
Maserati,0.7182110091743119,11.81651376146789,9,657.0,18313.0,3.5876153552121446
Sauber,0.70595690747782,12.901140684410647,0,0.0,38404.0,0.0
Lesovsky,0.6666666666666666,16.933333333333334,0,0.0,1931.0,0.0
Ligier,0.6350245499181669,13.656301145662848,9,548.0,26234.0,2.08889227719753
Cooper-Maserati,0.6194029850746269,11.835820895522389,2,145.0,5669.0,2.5577703298641734
Eagle-Weslake,0.6190476190476191,13.571428571428571,1,28.0,443.0,6.320541760722348
Porsche,0.6024096385542169,12.578313253012048,1,54.0,3311.0,1.630927212322561
Jordan,0.582,13.146,4,223.0,21999.0,1.0136824401109141
BRP,0.5789473684210527,12.052631578947368,0,0.0,804.0,0.0
Kurtis Kraft,0.5752212389380531,16.65929203539823,5,938.0,32522.0,2.884201463624623
Kuzma,0.5384615384615384,15.0,1,200.0,6289.0,3.180155827635554
Cooper,0.5048543689320388,12.70873786407767,2,180.0,4341.0,4.14651002073255
Penske,0.5,13.565217391304348,1,54.0,2146.0,2.516309412861137
McLaren-Serenissima,0.5,11.0,0,0.0,78.0,0.0
Cooper-Castellotti,0.5,13.5,0,0.0,230.0,0.0
Hesketh,0.4948453608247423,17.371134020618555,1,75.0,3012.0,2.49003984063745
Stewart,0.47959183673469385,13.89795918367347,1,66.0,3985.0,1.656210790464241
McLaren-BRM,0.42857142857142855,12.571428571428571,0,0.0,585.0,0.0
Parnelli,0.375,14.1875,0,0.0,548.0,0.0
Shadow-Ford,0.36538461538461536,14.0,0,0.0,912.0,0.0
Brabham-BRM,0.3170731707317073,12.292682926829269,0,0.0,1926.0,0.0
Connaught,0.3148148148148148,16.40740740740741,0,0.0,2142.0,0.0
Eagle-Climax,0.3076923076923077,13.461538461538462,0,0.0,303.0,0.0
Brabham-Alfa Romeo,0.3050847457627119,15.610169491525424,0,0.0,2020.0,0.0
Talbot-Lago,0.3048780487804878,10.987804878048781,0,0.0,2948.0,0.0
Jaguar,0.28823529411764703,12.970588235294118,0,0.0,7737.0,0.0
Fittipaldi,0.2838709677419355,16.64516129032258,0,0.0,5344.0,0.0
March,0.2824427480916031,16.2881679389313,3,171.0,19279.0,0.8869754655324447
Shadow,0.2796208530805687,15.568720379146919,1,54.0,8179.0,0.6602274116640177
Schroeder,0.25,21.875,0,0.0,1108.0,0.0
Gordini,0.24509803921568626,13.441176470588236,0,0.0,3997.0,0.0
Arrows,0.24067796610169492,14.320338983050847,0,0.0,24532.0,0.0
Lotus-BRM,0.2396694214876033,13.991735537190083,1,108.0,4256.0,2.537593984962406
Prost,0.21212121212121213,13.272727272727273,0,0.0,7430.0,0.0
Surtees,0.2076923076923077,16.442307692307693,0,0.0,9652.0,0.0
Toleman,0.1984732824427481,19.709923664122137,0,0.0,2892.0,0.0
Simca,0.1724137931034483,14.724137931034482,0,0.0,760.0,0.0
Trevis,0.16666666666666666,15.166666666666666,0,0.0,960.0,0.0
Lola,0.16463414634146342,16.4390243902439,0,0.0,5451.0,0.0
Embassy Hill,0.15789473684210525,13.947368421052632,0,0.0,723.0,0.0
Footwork,0.12886597938144329,16.216494845360824,0,0.0,7160.0,0.0
Leyton House,0.125,17.453125,0,0.0,2134.0,0.0
Rial,0.125,24.416666666666668,0,0.0,872.0,0.0
Ensign,0.12337662337662338,18.246753246753247,0,0.0,4463.0,0.0
Onyx,0.11538461538461539,23.21153846153846,0,0.0,1078.0,0.0
Iso Marlboro,0.10909090909090909,16.472727272727273,0,0.0,2106.0,0.0
Dallara,0.10416666666666667,16.53472222222222,0,0.0,5427.0,0.0
Larrousse,0.10185185185185185,16.587962962962962,0,0.0,8343.0,0.0
Tecno,0.09090909090909091,20.90909090909091,0,0.0,243.0,0.0
Minardi,0.05654761904761905,15.833333333333334,0,0.0,26819.0,0.0
Super Aguri,0.05128205128205128,16.102564102564102,0,0.0,3569.0,0.0
ATS,0.043209876543209874,18.25925925925926,0,0.0,4630.0,0.0
HWM,0.0425531914893617,16.5531914893617,0,0.0,1536.0,0.0
Theodore,0.03125,19.265625,0,0.0,1803.0,0.0
Spyker,0.029411764705882353,17.38235294117647,0,0.0,1449.0,0.0
Osella,0.01984126984126984,21.646825396825395,0,0.0,4841.0,0.0
Marussia,0.01834862385321101,17.642201834862384,0,0.0,5784.0,0.0
AGS,0.016260162601626018,25.382113821138212,0,0.0,2031.0,0.0
Zakspeed,0.015037593984962405,22.774436090225564,0,0.0,2878.0,0.0
Manor Marussia,0.01282051282051282,16.923076923076923,0,0.0,4078.0,0.0
MF1,0.0,15.75,0,0.0,1320.0,0.0
Spyker MF1,0.0,17.125,0,0.0,395.0,0.0
Forti,0.0,17.055555555555557,0,0.0,1804.0,0.0
Pacific,0.0,21.848484848484848,0,0.0,1154.0,0.0
Simtek,0.0,17.475,0,0.0,1473.0,0.0
Fondmetal,0.0,23.071428571428573,0,0.0,736.0,0.0
Andrea Moda,0.0,30.133333333333333,0,0.0,11.0,0.0
Lambo,0.0,28.125,0,0.0,262.0,0.0
Coloni,0.0,30.54320987654321,0,0.0,522.0,0.0
Euro Brun,0.0,28.236842105263158,0,0.0,841.0,0.0
Life,0.0,34.214285714285715,0,0.0,0.0,
RAM,0.0,19.971830985915492,0,0.0,1628.0,0.0
Spirit,0.0,16.32,0,0.0,930.0,0.0
Merzario,0.0,24.625,0,0.0,272.0,0.0
Kauhsen,0.0,27.5,0,0.0,0.0,
Rebaque,0.0,24.0,0,0.0,26.0,0.0
Martini,0.0,17.375,0,0.0,271.0,0.0
LEC,0.0,21.8,0,0.0,142.0,0.0
McGuire,0.0,35.0,0,0.0,0.0,
Boro,0.0,18.875,0,0.0,263.0,0.0
Apollon,0.0,33.0,0,0.0,0.0,
Kojima,0.0,14.666666666666666,0,0.0,138.0,0.0
Maki,0.0,28.25,0,0.0,0.0,
Lyncar,0.0,24.0,0,0.0,51.0,0.0
Shadow-Matra,0.0,19.5,0,0.0,42.0,0.0
Trojan,0.0,19.375,0,0.0,230.0,0.0
Amon,0.0,28.0,0,0.0,22.0,0.0
Token,0.0,18.25,0,0.0,125.0,0.0
Politoys,0.0,24.0,0,0.0,7.0,0.0
Connew,0.0,21.0,0,0.0,22.0,0.0
March-Alfa Romeo,0.0,15.2,0,0.0,360.0,0.0
Lotus-Pratt &amp; Whitney,0.0,14.333333333333334,0,0.0,116.0,0.0
Bellasi,0.0,23.0,0,0.0,18.0,0.0
De Tomaso,0.0,18.785714285714285,0,0.0,305.0,0.0
McLaren-Alfa Romeo,0.0,18.454545454545453,0,0.0,216.0,0.0
BRM-Ford,0.0,8.0,0,0.0,11.0,0.0
LDS,0.0,14.75,0,0.0,177.0,0.0
LDS-Climax,0.0,16.0,0,0.0,56.0,0.0
Cooper-ATS,0.0,15.0,0,0.0,29.0,0.0
Protos,0.0,17.5,0,0.0,16.0,0.0
Cooper-Ferrari,0.0,11.0,0,0.0,83.0,0.0
Shannon,0.0,20.0,0,0.0,0.0,
LDS-Alfa Romeo,0.0,20.0,0,0.0,73.0,0.0
Cooper-Ford,0.0,21.5,0,0.0,0.0,
RE,0.0,29.0,0,0.0,0.0,
Scirocco,0.0,20.058823529411764,0,0.0,107.0,0.0
Derrington,0.0,16.0,0,0.0,25.0,0.0
Gilby,0.0,21.0,0,0.0,135.0,0.0
Lotus-Borgward,0.0,28.5,0,0.0,0.0,
De Tomaso-Ferrari,0.0,28.0,0,0.0,0.0,
Lotus-Maserati,0.0,24.0,0,0.0,19.0,0.0
Stebro,0.0,15.5,0,0.0,88.0,0.0
Emeryson,0.0,22.545454545454547,0,0.0,153.0,0.0
De Tomaso-Alfa Romeo,0.0,23.666666666666668,0,0.0,14.0,0.0
ENB,0.0,16.0,0,0.0,14.0,0.0
De Tomaso-Osca,0.0,26.666666666666668,0,0.0,16.0,0.0
Cooper-Alfa Romeo,0.0,15.0,0,0.0,31.0,0.0
JBW,0.0,19.833333333333332,0,0.0,137.0,0.0
Ferguson,0.0,19.0,0,0.0,112.0,0.0
MBM,0.0,30.0,0,0.0,0.0,
Behra-Porsche,0.0,11.0,0,0.0,117.0,0.0
Scarab,0.0,18.666666666666668,0,0.0,87.0,0.0
Meskowski,0.0,12.0,0,0.0,394.0,0.0
Christensen,0.0,22.5,0,0.0,232.0,0.0
Ewing,0.0,23.333333333333332,0,0.0,294.0,0.0
Moore,0.0,8.0,0,0.0,536.0,0.0
Dunn,0.0,19.333333333333332,0,0.0,349.0,0.0
Elder,0.0,23.0,0,0.0,115.0,0.0
Sutton,0.0,30.0,0,0.0,45.0,0.0
Cooper-Borgward,0.0,13.0,0,0.0,144.0,0.0
Fry,0.0,27.0,0,0.0,0.0,
Cooper-OSCA,0.0,11.0,0,0.0,13.0,0.0
Tec-Mec,0.0,13.0,0,0.0,6.0,0.0
OSCA,0.0,19.125,0,0.0,217.0,0.0
Stevens,0.0,18.6,0,0.0,1395.0,0.0
Bugatti,0.0,17.0,0,0.0,18.0,0.0
Pawl,0.0,20.5,0,0.0,566.0,0.0
Pankratz,0.0,25.0,0,0.0,204.0,0.0
Arzani-Volpini,0.0,23.0,0,0.0,0.0,
Nichels,0.0,20.25,0,0.0,630.0,0.0
Bromme,0.0,28.0,0,0.0,418.0,0.0
Klenk,0.0,14.0,0,0.0,8.0,0.0
Turner,0.0,21.0,0,0.0,146.0,0.0
Del Roy,0.0,32.0,0,0.0,6.0,0.0
Veritas,0.0,19.0,0,0.0,155.0,0.0
BMW,0.0,16.0,0,0.0,58.0,0.0
EMW,0.0,20.0,0,0.0,12.0,0.0
AFM,0.0,20.571428571428573,0,0.0,98.0,0.0
Aston Butterworth,0.0,25.25,0,0.0,19.0,0.0
ERA,0.0,14.076923076923077,0,0.0,566.0,0.0
Alta,0.0,13.5,0,0.0,302.0,0.0
Cisitalia,0.0,34.0,0,0.0,0.0,
Hall,0.0,19.0,0,0.0,97.0,0.0
Marchese,0.0,15.5,0,0.0,226.0,0.0
Langley,0.0,16.0,0,0.0,128.0,0.0
Rae,0.0,22.0,0,0.0,123.0,0.0
Olson,0.0,23.0,0,0.0,123.0,0.0
Wetteroth,0.0,24.0,0,0.0,122.0,0.0
Snowberger,0.0,26.0,0,0.0,111.0,0.0
Adams,0.0,27.0,0,0.0,216.0,0.0
Milano,0.0,27.0,0,0.0,0.0,
Lotus,0.0,17.973684210526315,0,0.0,3666.0,0.0
HRT,0.0,19.853448275862068,0,0.0,5330.0,0.0
Virgin,0.0,19.0,0,0.0,3417.0,0.0
Caterham,0.0,17.464285714285715,0,0.0,5524.0,0.0
