circuitId,circuit_name,avg_points
79,Miami International Autodrome,20.5
68,Buddh International Circuit,17.0
77,Jeddah Corniche Circuit,16.5
39,Circuit Park Zandvoort,16.25
78,Losail International Circuit,15.5
34,Circuit Paul Ricard,15.125
32,Autódromo Hermanos Rodríguez,14.071428571428571
35,Korean International Circuit,13.5
24,Yas Marina Circuit,12.357142857142858
15,Marina Bay Street Circuit,12.038461538461538
22,Suzuka Circuit,11.464285714285714
73,Baku City Circuit,11.357142857142858
69,Circuit of the Americas,11.35
75,Autódromo Internacional do Algarve,11.25
6,Circuit de Monaco,11.027777777777779
70,Red Bull Ring,10.958333333333334
4,Circuit de Barcelona-Catalunya,10.368421052631579
13,Circuit de Spa-Francorchamps,9.958333333333334
11,Hungaroring,9.605263157894736
2,Sepang International Circuit,9.365384615384615
9,Silverstone Circuit,9.325
18,Autódromo José Carlos Pace,9.323529411764707
7,Circuit Gilles Villeneuve,9.21875
17,Shanghai International Circuit,7.866666666666666
20,Nürburgring,7.857142857142857
12,Valencia Street Circuit,7.7
76,Autodromo Internazionale del Mugello,7.5
3,Bahrain International Circuit,7.447368421052632
10,Hockenheimring,7.277777777777778
21,Autodromo Enzo e Dino Ferrari,7.0
5,Istanbul Park,6.888888888888889
71,Sochi Autodrom,6.8125
1,Albert Park Grand Prix Circuit,6.382352941176471
14,Autodromo Nazionale di Monza,5.694444444444445
16,Fuji Speedway,1.5
19,Indianapolis Motor Speedway,0.6666666666666666
8,Circuit de Nevers Magny-Cours,0.375
