"Austrian Grand Prix","0 days 00:01:07.012000"
"São Paulo Grand Prix","0 days 00:01:12.486000"
"Dutch Grand Prix","0 days 00:01:13.837000"
"Canadian Grand Prix","0 days 00:01:14.481000"
"Monaco Grand Prix","0 days 00:01:15.650000"
"Spanish Grand Prix","0 days 00:01:16.330000"
"Australian Grand Prix","0 days 00:01:20.235000"
"Hungarian Grand Prix","0 days 00:01:20.504000"
"Mexico City Grand Prix","0 days 00:01:21.334000"
"Qatar Grand Prix","0 days 00:01:24.319000"
"Italian Grand Prix","0 days 00:01:25.072000"
"Abu Dhabi Grand Prix","0 days 00:01:26.993000"
"Miami Grand Prix","0 days 00:01:29.708000"
"British Grand Prix","0 days 00:01:30.275000"
"Saudi Arabian Grand Prix","0 days 00:01:31.906000"
"Bahrain Grand Prix","0 days 00:01:33.996000"
"Japanese Grand Prix","0 days 00:01:34.183000"
"Las Vegas Grand Prix","0 days 00:01:35.490000"
"Singapore Grand Prix","0 days 00:01:35.867000"
"United States Grand Prix","0 days 00:01:38.139000"
"Azerbaijan Grand Prix","0 days 00:01:43.370000"
"Belgian Grand Prix","0 days 00:01:47.305000"
