"NOR","1235","38","97.01","2.99"
"RIC","403","14","96.64","3.36"
"GAS","1206","42","96.63","3.37"
"DEV","543","19","96.62","3.38"
"ZHO","1202","42","96.62","3.38"
"ALB","1112","39","96.61","3.39"
"TSU","1163","41","96.59","3.41"
"HUL","1207","43","96.56","3.44"
"ALO","1249","45","96.52","3.48"
"BOT","1185","43","96.50","3.50"
"MAG","1130","43","96.33","3.67"
"HAM","1222","47","96.30","3.70"
"PIA","1141","44","96.29","3.71"
"LEC","1106","43","96.26","3.74"
"RUS","1207","47","96.25","3.75"
"VER","1275","50","96.23","3.77"
"LAW","281","11","96.23","3.77"
"STR","1120","44","96.22","3.78"
"PER","1169","46","96.21","3.79"
"SAR","1099","45","96.07","3.93"
"OCO","1069","44","96.05","3.95"
"SAI","1195","51","95.91","4.09"
